proper_colour_name,proper_colour,x,y,latitude,longitude
yellow,"[235, 52, 0]",999,1663,53.30580149455887,-6.300019136962364
green,"[96, 184, 23]",1037,1650,53.30664260947966,-6.295897684809017
green,"[96, 184, 23]",1215,1625,53.30825747378096,-6.2765946370286345
green,"[96, 184, 23]",1063,1625,53.30826133363407,-6.293076531626371
green,"[96, 184, 23]",1227,1612,53.30909924893979,-6.275292456319637
green,"[96, 184, 23]",1253,1587,53.31071797309419,-6.272471303136991
green,"[96, 184, 23]",1240,1587,53.310718303213214,-6.273880938859165
yellow,"[235, 52, 0]",1050,1587,53.31072312802959,-6.294483307106335
green,"[96, 184, 23]",1113,1574,53.31156360810613,-6.287651017025728
yellow,"[235, 52, 0]",1861,1561,53.3123866934499,-6.206541767738219
yellow,"[235, 52, 0]",1139,1561,53.31240502775216,-6.284830767077464
yellow,"[235, 52, 0]",1126,1561,53.31240535787118,-6.286240402799639
green,"[96, 184, 23]",1050,1561,53.31240728779773,-6.294481350098507
yellow,"[235, 52, 0]",1139,1549,53.31318233226054,-6.284829863843082
green,"[96, 184, 23]",1113,1549,53.31318299249857,-6.287649135287431
green,"[96, 184, 23]",1088,1549,53.31318362734283,-6.290359973214691
yellow,"[235, 52, 0]",949,1549,53.313187157076925,-6.305432232090252
yellow,"[235, 52, 0]",949,1536,53.31402923696099,-6.305431253586337
green,"[96, 184, 23]",1088,1523,53.31486778711097,-6.290358016206863
green,"[96, 184, 23]",1025,1523,53.3148693869185,-6.297189327783555
yellow,"[235, 52, 0]",1012,1523,53.31486971703752,-6.2985989635057305
green,"[96, 184, 23]",1240,1511,53.31564123176623,-6.273875218374744
green,"[96, 184, 23]",1164,1511,53.31564316169278,-6.282116165673612
green,"[96, 184, 23]",1151,1511,53.3156434918118,-6.283525801395787
green,"[96, 184, 23]",974,1511,53.31564798650917,-6.302718533920782
green,"[96, 184, 23]",961,1511,53.31564831662818,-6.304128169642957
green,"[96, 184, 23]",1177,1498,53.31648491145784,-6.280705551447523
green,"[96, 184, 23]",1113,1473,53.31810592105159,-6.287643414803011
green,"[96, 184, 23]",1037,1473,53.318107850978144,-6.295884362101878
yellow,"[235, 52, 0]",1025,1473,53.318108155703385,-6.297185564306963
green,"[96, 184, 23]",1012,1473,53.3181084858224,-6.298595200029138
yellow,"[235, 52, 0]",961,1473,53.3181097809047,-6.304125309400747
yellow,"[235, 52, 0]",1151,1460,53.31894703597238,-6.283521962649663
yellow,"[235, 52, 0]",1037,1460,53.31894993086221,-6.295883383597965
green,"[96, 184, 23]",771,1460,53.31895668560515,-6.324726699144002
green,"[96, 184, 23]",1189,1447,53.31978815089317,-6.279400510496314
green,"[96, 184, 23]",1177,1447,53.319788455618415,-6.280701712701399
green,"[96, 184, 23]",1126,1447,53.31978975070071,-6.286231822073008
yellow,"[235, 52, 0]",987,1447,53.3197932804348,-6.301304080948569
green,"[96, 184, 23]",974,1447,53.319793610553816,-6.302713716670744
green,"[96, 184, 23]",771,1447,53.31979876548922,-6.324725720640088
yellow,"[235, 52, 0]",1151,1435,53.32056642036482,-6.283520080911367
orange,"[235, 52, 0]",1139,1435,53.32056672509007,-6.284821283116451
green,"[96, 184, 23]",1063,1435,53.32056865501662,-6.293062230415319
green,"[96, 184, 23]",999,1435,53.32057028021793,-6.300001975509103
green,"[96, 184, 23]",1101,1422,53.32140976993741,-6.288940778261971
green,"[96, 184, 23]",1088,1422,53.321410100056426,-6.290350413984146
green,"[96, 184, 23]",1037,1422,53.32141139513872,-6.295880523355755
green,"[96, 184, 23]",1025,1422,53.321411699863965,-6.297181725560839
yellow,"[235, 52, 0]",759,1422,53.321418454606906,-6.326025041106877
green,"[96, 184, 23]",1697,1409,53.32223671513429,-6.224313423572198
green,"[96, 184, 23]",1684,1409,53.32223704525331,-6.225723059294372
red,"[235, 52, 0]",1367,1409,53.32224509507854,-6.260096484212019
green,"[96, 184, 23]",1101,1409,53.32225184982148,-6.288939799758057
green,"[96, 184, 23]",1088,1409,53.3222521799405,-6.290349435480231
green,"[96, 184, 23]",657,1409,53.32226312465557,-6.33708428134618
green,"[96, 184, 23]",847,1397,53.323035604347545,-6.316481009864628
green,"[96, 184, 23]",619,1397,53.32304139412721,-6.341203851761232
green,"[96, 184, 23]",1392,1384,53.32386384462672,-6.257383764546463
yellow,"[235, 52, 0]",1379,1384,53.32386417474574,-6.258793400268639
green,"[96, 184, 23]",1303,1384,53.32386610467229,-6.267034347567506
green,"[96, 184, 23]",1367,1346,53.32632594374749,-6.260091742231513
green,"[96, 184, 23]",683,1346,53.32634331308648,-6.334260267921324
yellow,"[235, 52, 0]",961,1333,53.32717833350236,-6.304114771666288
green,"[96, 184, 23]",695,1333,53.3271850882453,-6.332958087212325
