proper_colour_name,proper_colour,x,y,latitude,longitude
yellow,"[235, 52, 0]",1088,1751,53.30009900145191,-6.290375177660124
green,"[96, 184, 23]",1075,1751,53.30009933157093,-6.291784813382299
green,"[96, 184, 23]",1063,1751,53.300099636296174,-6.293086015587384
green,"[96, 184, 23]",1101,1739,53.30087597584127,-6.288964638703567
green,"[96, 184, 23]",1113,1713,53.30255983088416,-6.287661479490655
green,"[96, 184, 23]",1075,1713,53.30256079584744,-6.291781953140089
green,"[96, 184, 23]",1113,1701,53.30333713539253,-6.287660576256273
yellow,"[235, 52, 0]",1101,1701,53.30333744011777,-6.288961778461357
green,"[96, 184, 23]",1088,1701,53.3033377702368,-6.290371414183532
green,"[96, 184, 23]",1075,1701,53.30333810035581,-6.2917810499057065
green,"[96, 184, 23]",1063,1701,53.30333840508105,-6.293082252110791
green,"[96, 184, 23]",1050,1701,53.30333873520007,-6.294491887832966
red,"[235, 52, 0]",1012,1701,53.30333970016335,-6.2986123614824
green,"[96, 184, 23]",1113,1688,53.3041792152766,-6.287659597752358
yellow,"[235, 52, 0]",1101,1688,53.304179520001846,-6.288960799957443
yellow,"[235, 52, 0]",1088,1688,53.30417985012086,-6.290370435679618
green,"[96, 184, 23]",1075,1688,53.30418018023988,-6.291780071401792
green,"[96, 184, 23]",1063,1688,53.30418048496512,-6.293081273606877
yellow,"[235, 52, 0]",1050,1688,53.30418081508414,-6.294490909329052
green,"[96, 184, 23]",1037,1688,53.30418114520315,-6.295900545051227
green,"[96, 184, 23]",1025,1688,53.3041814499284,-6.297201747256311
yellow,"[235, 52, 0]",1278,1675,53.30501710518855,-6.269767088928534
green,"[96, 184, 23]",1240,1675,53.305018070151824,-6.273887562577968
yellow,"[235, 52, 0]",1227,1675,53.30501840027084,-6.275297198300143
green,"[96, 184, 23]",1215,1675,53.30501870499608,-6.276598400505227
yellow,"[235, 52, 0]",1202,1675,53.305019035115095,-6.278008036227402
red,"[235, 52, 0]",1189,1675,53.30501936523412,-6.2794176719495765
green,"[96, 184, 23]",1177,1675,53.30501966995936,-6.280718874154661
green,"[96, 184, 23]",1139,1675,53.30502063492264,-6.284839347804095
green,"[96, 184, 23]",1126,1675,53.30502096504165,-6.28624898352627
green,"[96, 184, 23]",1113,1675,53.30502129516067,-6.287658619248445
green,"[96, 184, 23]",1101,1675,53.30502159988591,-6.288959821453529
green,"[96, 184, 23]",1088,1675,53.305021930004926,-6.290369457175704
yellow,"[235, 52, 0]",1075,1675,53.30502226012395,-6.291779092897879
red,"[235, 52, 0]",1063,1675,53.30502256484919,-6.293080295102963
green,"[96, 184, 23]",1025,1675,53.30502352981247,-6.297200768752397
green,"[96, 184, 23]",1303,1663,53.30579377485265,-6.267055347766893
yellow,"[235, 52, 0]",1291,1663,53.3057940795779,-6.268356549971977
yellow,"[235, 52, 0]",1278,1663,53.30579440969692,-6.269766185694152
green,"[96, 184, 23]",1265,1663,53.30579473981593,-6.271175821416327
yellow,"[235, 52, 0]",1240,1663,53.30579537466019,-6.273886659343586
yellow,"[235, 52, 0]",1227,1663,53.30579570477921,-6.27529629506576
green,"[96, 184, 23]",1215,1663,53.305796009504455,-6.276597497270845
green,"[96, 184, 23]",1202,1663,53.30579633962347,-6.27800713299302
green,"[96, 184, 23]",1177,1663,53.30579697446773,-6.280717970920279
green,"[96, 184, 23]",1164,1663,53.30579730458675,-6.282127606642454
green,"[96, 184, 23]",1151,1663,53.30579763470576,-6.283537242364629
