proper_colour_name,proper_colour,x,y,latitude,longitude
yellow,"[205, 220, 57]",1113,1739,53.30087567111602,-6.287663436498483
green,"[96, 184, 23]",1113,1713,53.30255983088416,-6.287661479490655
yellow,"[205, 220, 57]",1278,1675,53.30501710518855,-6.269767088928534
yellow,"[205, 220, 57]",1240,1675,53.305018070151824,-6.273887562577968
yellow,"[205, 220, 57]",1227,1675,53.30501840027084,-6.275297198300143
yellow,"[205, 220, 57]",1278,1663,53.30579440969692,-6.269766185694152
yellow,"[205, 220, 57]",1227,1663,53.30579570477921,-6.27529629506576
green,"[96, 184, 23]",1202,1663,53.30579633962347,-6.27800713299302
yellow,"[205, 220, 57]",1113,1663,53.30579859966904,-6.287657716014063
yellow,"[205, 220, 57]",1354,1650,53.30663455965443,-6.26152425989137
yellow,"[205, 220, 57]",1303,1650,53.306635854736726,-6.267054369262978
yellow,"[205, 220, 57]",1240,1650,53.30663745454426,-6.273885680839672
yellow,"[205, 220, 57]",1227,1650,53.30663778466328,-6.275295316561847
yellow,"[205, 220, 57]",1215,1650,53.30663808938852,-6.276596518766931
yellow,"[205, 220, 57]",1227,1637,53.30747986454735,-6.2752943380579325
yellow,"[205, 220, 57]",1202,1637,53.30748049939161,-6.278005175985192
green,"[96, 184, 23]",1189,1637,53.307480829510624,-6.279414811707366
yellow,"[205, 220, 57]",1012,1637,53.307485324208,-6.298607544232361
yellow,"[205, 220, 57]",987,1637,53.30748595905226,-6.301318382159621
green,"[96, 184, 23]",1341,1625,53.30825427416589,-6.262932013875249
red,"[235, 52, 0]",1278,1625,53.30825587397342,-6.269763325451941
yellow,"[205, 220, 57]",1227,1625,53.30825716905572,-6.27529343482355
red,"[235, 52, 0]",1215,1625,53.30825747378096,-6.2765946370286345
red,"[235, 52, 0]",1177,1625,53.30825843874424,-6.280715110678068
red,"[235, 52, 0]",1126,1625,53.30825973382653,-6.286245220049677
yellow,"[205, 220, 57]",1367,1612,53.309095693811926,-6.260111763926985
red,"[235, 52, 0]",1278,1612,53.309097953857496,-6.269762346948028
yellow,"[205, 220, 57]",1227,1612,53.30909924893979,-6.275292456319637
yellow,"[205, 220, 57]",1177,1612,53.30910051862831,-6.280714132174155
yellow,"[205, 220, 57]",1405,1599,53.30993680873272,-6.255990311773637
red,"[235, 52, 0]",1202,1599,53.30994196366812,-6.278002315742981
yellow,"[205, 220, 57]",1189,1599,53.30994229378713,-6.279411951465156
yellow,"[205, 220, 57]",1063,1599,53.30994549340221,-6.293074574618542
yellow,"[205, 220, 57]",1050,1599,53.309945823521225,-6.294484210340717
yellow,"[205, 220, 57]",1012,1599,53.3099467884845,-6.298604683990151
yellow,"[205, 220, 57]",1747,1587,53.3107054285716,-6.218905145694349
yellow,"[205, 220, 57]",1405,1587,53.31071411324109,-6.2559894085392544
