proper_colour_name,proper_colour,x,y,latitude,longitude
yellow,"[235, 52, 0]",1113,1739,53.30087567111602,-6.287663436498483
green,"[96, 184, 23]",1113,1713,53.30255983088416,-6.287661479490655
yellow,"[235, 52, 0]",1278,1675,53.30501710518855,-6.269767088928534
yellow,"[235, 52, 0]",1240,1675,53.305018070151824,-6.273887562577968
yellow,"[235, 52, 0]",1278,1663,53.30579440969692,-6.269766185694152
yellow,"[235, 52, 0]",1354,1650,53.30663455965443,-6.26152425989137
yellow,"[235, 52, 0]",1303,1650,53.306635854736726,-6.267054369262978
yellow,"[235, 52, 0]",1227,1637,53.30747986454735,-6.2752943380579325
yellow,"[235, 52, 0]",987,1637,53.30748595905226,-6.301318382159621
yellow,"[235, 52, 0]",1227,1625,53.30825716905572,-6.27529343482355
red,"[235, 52, 0]",1215,1625,53.30825747378096,-6.2765946370286345
red,"[235, 52, 0]",1177,1625,53.30825843874424,-6.280715110678068
red,"[235, 52, 0]",1278,1612,53.309097953857496,-6.269762346948028
yellow,"[235, 52, 0]",1227,1612,53.30909924893979,-6.275292456319637
yellow,"[235, 52, 0]",1405,1599,53.30993680873272,-6.255990311773637
red,"[235, 52, 0]",1202,1599,53.30994196366812,-6.278002315742981
yellow,"[235, 52, 0]",1189,1599,53.30994229378713,-6.279411951465156
yellow,"[235, 52, 0]",1050,1599,53.309945823521225,-6.294484210340717
yellow,"[235, 52, 0]",1012,1599,53.3099467884845,-6.298604683990151
yellow,"[235, 52, 0]",1747,1587,53.3107054285716,-6.218905145694349
yellow,"[235, 52, 0]",1405,1587,53.31071411324109,-6.2559894085392544
yellow,"[235, 52, 0]",1379,1587,53.31071477347912,-6.258808679983604
yellow,"[235, 52, 0]",1126,1587,53.310721198103046,-6.286242359807467
yellow,"[235, 52, 0]",1088,1587,53.31072216306632,-6.290362833456901
yellow,"[235, 52, 0]",1025,1587,53.310723762873856,-6.297194145033594
yellow,"[235, 52, 0]",1012,1587,53.31072409299287,-6.298603780755768
red,"[235, 52, 0]",999,1587,53.31072442311189,-6.300013416477944
red,"[235, 52, 0]",1735,1574,53.31154781318091,-6.22020536939552
red,"[235, 52, 0]",1722,1574,53.31154814329992,-6.221615005117695
yellow,"[235, 52, 0]",1379,1574,53.31155685336319,-6.25880770147969
yellow,"[235, 52, 0]",1240,1574,53.31156038309728,-6.273879960355251
yellow,"[235, 52, 0]",1164,1574,53.31156231302384,-6.282120907654119
yellow,"[235, 52, 0]",1088,1574,53.31156424295039,-6.2903618549529865
yellow,"[235, 52, 0]",1075,1574,53.31156457306941,-6.291771490675162
yellow,"[235, 52, 0]",1012,1574,53.311566172876944,-6.298602802251855
red,"[235, 52, 0]",1316,1561,53.31240053305479,-6.265638034552469
yellow,"[235, 52, 0]",1253,1561,53.31240213286233,-6.272469346129162
yellow,"[235, 52, 0]",1240,1561,53.31240246298135,-6.273878981851337
yellow,"[235, 52, 0]",1101,1561,53.31240599271544,-6.288951240726898
yellow,"[235, 52, 0]",1088,1561,53.312406322834455,-6.290360876449073
yellow,"[235, 52, 0]",1025,1561,53.312407922642,-6.297192188025766
red,"[235, 52, 0]",1874,1549,53.313163667839255,-6.205131228781662
yellow,"[235, 52, 0]",1316,1549,53.31317783756317,-6.265637131318087
yellow,"[235, 52, 0]",1240,1549,53.31317976748972,-6.273878078616955
yellow,"[235, 52, 0]",1215,1549,53.313180402333984,-6.276588916544214
red,"[235, 52, 0]",1189,1549,53.31318106257201,-6.279408187988564
red,"[235, 52, 0]",1177,1549,53.31318136729726,-6.280709390193648
yellow,"[235, 52, 0]",1101,1549,53.313183297223816,-6.288950337492516
yellow,"[235, 52, 0]",987,1549,53.31318619211365,-6.301311758440818
green,"[96, 184, 23]",1861,1536,53.31400607784234,-6.206539885999923
red,"[235, 52, 0]",1849,1536,53.314006382567584,-6.207841088205007
yellow,"[235, 52, 0]",1519,1536,53.31401476251183,-6.2436241488448285
red,"[235, 52, 0]",1481,1536,53.31401572747511,-6.247744622494262
green,"[96, 184, 23]",1468,1536,53.31401605759413,-6.249154258216437
yellow,"[235, 52, 0]",1265,1536,53.31402121252953,-6.2711662621857815
yellow,"[235, 52, 0]",1240,1536,53.31402184737379,-6.273877100113041
yellow,"[235, 52, 0]",999,1536,53.31402796727247,-6.300009577731819
red,"[235, 52, 0]",1646,1523,53.31485361738706,-6.229852113670438
