Serial,Day,Location,Liters,Lat,Lng,Color
1500236,1,A4/2 - Baggot St. Lower - Donnybrook Fair,454,53.33364621,-6.244624242,"[128, 128, 128]"
1500239,1,A2/1 - Pembroke Rd. - at Embassy Grill Restaurant,340,53.32998346,-6.232498017,"[128, 128, 128]"
1504613,1,A2/4 - AB - 2- Sandymount Promenade,340,53.320695,-6.205773333,"[128, 128, 128]"
1504615,1,A2/4 - AE - 5 - Sandymount Promenade,454,53.322465,-6.206116667,"[128, 128, 128]"
1504620,1,Shelbourne Rd- Ballsbridge Colege Of Futher Education,454,53.32991463,-6.231829451,"[128, 128, 128]"
1504621,1,"A4/2 - Mespil Rd, Beshoff Fish & Chips",454,53.33388383,-6.245598653,"[128, 128, 128]"
1504624,1,"A2/1 - Pembroke Rd. - at Ballsbridge Hotel, beside Bus Stop",340,53.33156333,-6.234461667,"[128, 128, 128]"
1504625,1,A4/2 - Baggot St. Lower  - at Saba Restaurant,454,53.33353157,-6.244104872,"[128, 128, 128]"
1506392,1,Kilmainham Gaol Main Entrance Left,454,53.34192667,-6.308361667,"[128, 128, 128]"
1506396,1,Kilmainham Gaol Main Entrance Right,454,53.34195816,-6.308560359,"[128, 128, 128]"
1515439,1,East Essex St. - The Norseman Pub,567,53.34545023,-6.26484276,"[0, 255, 0]"
1515458,1,Temple Bar - Fleet St. - Cafe Nero,454,53.34567964,-6.26184963,"[128, 128, 128]"
1515459,1,Heuston Station Entrance - Bus Stop at Taxi Rank - City Bound,113,53.34606167,-6.293968333,"[128, 128, 128]"
1515460,1,Boardwalk - Ha'penny Bridge to O'Connell Bridge - Opp. O'Connell's Bar,113,53.34725686,-6.260151404,"[128, 128, 128]"
1515463,1,Boardwalk - Ha'penny Bridge to O'Connell Bridge - Opp. Sacrament Church,227,53.34696562,-6.261283017,"[128, 128, 128]"
1515465,1,Rosie Hackett Bridge meets Eden Quay,113,53.34789836,-6.257345257,"[128, 128, 128]"
