colour_name,colour,x,y,latitude,longitude
green,"[96, 184, 23]",1175,1784,53.29927759299033,-6.291778111872345
green,"[96, 184, 23]",1187,1771,53.300106389167645,-6.290495112723532
white,"[255, 255, 255]",1175,1771,53.300106831191215,-6.291776958188675
red,"[235, 52, 0]",1162,1771,53.30010731005009,-6.293165624109246
green,"[96, 184, 23]",1213,1758,53.300934669650786,-6.287716627198718
green,"[96, 184, 23]",1200,1758,53.30093514850966,-6.28910529311929
green,"[96, 184, 23]",1187,1758,53.30093562736853,-6.290493959039861
green,"[96, 184, 23]",1175,1758,53.3009360693921,-6.291775804505004
green,"[96, 184, 23]",1162,1758,53.300936548250974,-6.293164470425576
green,"[96, 184, 23]",1213,1746,53.30170012029776,-6.2877155622599465
green,"[96, 184, 23]",1200,1746,53.30170059915663,-6.289104228180518
green,"[96, 184, 23]",1187,1746,53.3017010780155,-6.290492894101089
white,"[255, 255, 255]",1175,1746,53.301701520039074,-6.291774739566232
green,"[96, 184, 23]",1162,1746,53.30170199889795,-6.293163405486803
green,"[96, 184, 23]",1149,1746,53.30170247775682,-6.294552071407375
green,"[96, 184, 23]",1213,1733,53.302529358498646,-6.287714408576276
green,"[96, 184, 23]",1200,1733,53.30252983735752,-6.289103074496848
red,"[235, 52, 0]",1187,1733,53.30253031621639,-6.290491740417419
green,"[96, 184, 23]",1175,1733,53.30253075823996,-6.291773585882562
green,"[96, 184, 23]",1162,1733,53.30253123709883,-6.293162251803133
green,"[96, 184, 23]",1149,1733,53.302531715957706,-6.294550917723704
green,"[96, 184, 23]",1136,1733,53.30253219481658,-6.295939583644276
green,"[96, 184, 23]",1123,1733,53.30253267367545,-6.297328249564847
green,"[96, 184, 23]",1213,1720,53.30335859669953,-6.287713254892606
red,"[235, 52, 0]",1200,1720,53.303359075558404,-6.289101920813177
red,"[235, 52, 0]",1187,1720,53.30335955441728,-6.290490586733749
green,"[96, 184, 23]",1175,1720,53.30335999644085,-6.291772432198892
green,"[96, 184, 23]",1162,1720,53.30336047529972,-6.293161098119463
green,"[96, 184, 23]",1149,1720,53.30336095415859,-6.294549764040035
green,"[96, 184, 23]",1136,1720,53.303361433017464,-6.295938429960605
green,"[96, 184, 23]",1123,1720,53.30336191187634,-6.297327095881177
green,"[96, 184, 23]",1110,1720,53.30336239073521,-6.298715761801748
green,"[96, 184, 23]",1394,1707,53.304181167711505,-6.268377598776365
green,"[96, 184, 23]",1381,1707,53.30418164657038,-6.269766264696936
green,"[96, 184, 23]",1213,1707,53.30418783490042,-6.287712101208935
green,"[96, 184, 23]",1200,1707,53.30418831375929,-6.289100767129507
red,"[235, 52, 0]",1187,1707,53.30418879261816,-6.2904894330500785
green,"[96, 184, 23]",1175,1707,53.30418923464173,-6.291771278515221
green,"[96, 184, 23]",1162,1707,53.304189713500605,-6.293159944435793
green,"[96, 184, 23]",1149,1707,53.30419019235948,-6.294548610356364
red,"[235, 52, 0]",1136,1707,53.30419067121835,-6.295937276276936
green,"[96, 184, 23]",1123,1707,53.30419115007722,-6.2973259421975065
green,"[96, 184, 23]",1110,1707,53.304191628936096,-6.298714608118078
green,"[96, 184, 23]",1394,1694,53.30501040591239,-6.268376445092695
